IMAGEM,VP,VN,FP,FN,Acurácia,Sobreposição,Sensibilidade,Especificidade  
otsu_800_cinza_Im077,225029,334140,11764,69067,87.37,73.57,76.52,96.60
otsu_400_rgb_Im023,37674,106593,6248,9485,90.17,70.54,79.89,94.46
otsu_400_cinza_Im080,46597,98985,1669,12749,90.99,76.37,78.52,98.34
otsu_800_rgb_Im050,188076,396965,8929,46030,91.41,77.39,80.34,97.80
otsu_400_rgb_Im072,29521,84665,32229,13585,71.37,39.19,68.48,72.43
otsu_800_rgb_Im072,118187,338574,129003,54236,71.37,39.21,68.54,72.41
otsu_800_cinza_Im072,117837,339044,128533,54586,71.39,39.15,68.34,72.51
otsu_400_cinza_Im025,19728,116182,1518,22572,84.94,45.02,46.64,98.71
otsu_400_cinza_Im054,43263,104046,4287,8404,92.07,77.32,83.73,96.04
otsu_400_cinza_Im031,32303,112457,3526,11714,90.48,67.94,73.39,96.96
otsu_800_rgb_Im037,145784,440555,6277,47384,91.62,73.09,75.47,98.60
otsu_800_rgb_Im026,161062,327444,83768,67726,76.33,51.53,70.40,79.63
otsu_400_cinza_Im085,48195,82778,5223,23804,81.86,62.41,66.94,94.06
otsu_800_cinza_Im008,185384,396070,22799,35747,90.85,76.00,83.83,94.56
otsu_400_cinza_Im037,36460,110159,1568,11813,91.64,73.15,75.53,98.60
otsu_400_rgb_Im012,33932,101331,3488,21249,84.54,57.84,61.49,96.67
otsu_400_rgb_Im059,24818,110005,1044,24133,84.26,49.64,50.70,99.06
otsu_400_cinza_Im022,36627,108666,5847,8860,90.81,71.35,80.52,94.89
otsu_400_cinza_Im066,43860,90695,4539,20906,84.10,63.29,67.72,95.23
otsu_400_rgb_Im004,49202,95796,2253,12749,90.62,76.63,79.42,97.70
otsu_400_rgb_Im015,28511,118501,569,12419,91.88,68.70,69.66,99.52
otsu_800_cinza_Im058,132366,432864,10590,64180,88.32,63.90,67.35,97.61
otsu_400_cinza_Im081,47618,97080,1749,13553,90.44,75.68,77.84,98.23
otsu_800_rgb_Im011,124347,442238,46076,27339,88.53,62.88,81.98,90.56
otsu_800_cinza_Im012,135785,405347,13999,84869,84.55,57.87,61.54,96.66
otsu_800_rgb_Im078,150627,305489,148202,35682,71.27,45.03,80.85,67.33
otsu_400_rgb_Im008,46348,99054,5633,8965,90.88,76.05,83.79,94.62
otsu_400_cinza_Im077,56247,83529,2955,17269,87.36,73.55,76.51,96.58
otsu_400_rgb_Im020,41265,100666,3296,14773,88.71,69.55,73.64,96.83
otsu_400_rgb_Im052,44700,96734,1834,16732,88.40,70.65,72.76,98.14
otsu_400_cinza_Im075,43406,76259,23341,16994,74.79,51.83,71.86,76.57
otsu_400_cinza_Im023,37695,106620,6221,9464,90.20,70.62,79.93,94.49
otsu_800_rgb_Im060,148542,350836,91885,48737,78.03,51.37,75.30,79.25
otsu_400_cinza_Im012,33946,101335,3484,21235,84.55,57.86,61.52,96.68
otsu_400_cinza_Im046,37743,108181,3883,10193,91.20,72.84,78.74,96.54
otsu_800_rgb_Im027,156185,370827,28199,84789,82.35,58.02,64.81,92.93
otsu_400_rgb_Im050,47012,99260,2227,11501,91.42,77.40,80.34,97.81
otsu_400_cinza_Im041,36525,108933,1300,13242,90.91,71.52,73.39,98.82
otsu_800_cinza_Im047,140372,395491,40486,63651,83.73,57.41,68.80,90.71
otsu_800_cinza_Im006,154792,354916,23500,106792,79.64,54.30,59.17,93.79
otsu_400_cinza_Im040,28902,122359,621,8118,94.54,76.78,78.07,99.50
otsu_800_rgb_Im046,151128,432824,15371,40677,91.24,72.95,78.79,96.57
otsu_800_rgb_Im004,196748,383151,8959,51142,90.61,76.60,79.37,97.72
otsu_800_rgb_Im066,175439,362753,18264,83544,84.09,63.28,67.74,95.21
otsu_400_cinza_Im074,37317,96135,6049,20499,83.41,58.43,64.54,94.08
otsu_800_cinza_Im015,114034,473984,2282,49700,91.88,68.69,69.65,99.52
otsu_400_rgb_Im025,19729,116179,1521,22571,84.94,45.02,46.64,98.71
otsu_800_rgb_Im006,154408,354805,23611,107176,79.56,54.14,59.03,93.76
otsu_800_rgb_Im028,186011,398988,4764,50237,91.41,77.18,78.74,98.82
otsu_400_rgb_Im086,38780,96951,3419,20850,84.83,61.51,65.03,96.59
otsu_800_rgb_Im008,185252,396161,22708,35879,90.85,75.97,83.77,94.58
otsu_400_rgb_Im001,18507,114243,1165,26085,82.97,40.45,41.50,98.99
otsu_400_cinza_Im058,33096,108202,2660,16042,88.31,63.89,67.35,97.60
otsu_400_cinza_Im076,35062,80977,29202,14759,72.52,44.37,70.38,73.50
otsu_800_cinza_Im019,167764,417825,12955,41456,91.50,75.51,80.19,96.99
otsu_400_rgb_Im024,24586,108339,2831,24244,83.08,47.59,50.35,97.45
otsu_400_cinza_Im029,48487,94209,1568,15736,89.19,73.70,75.50,98.36
otsu_800_rgb_Im041,145974,435773,5178,53075,90.90,71.48,73.34,98.83
otsu_400_rgb_Im036,40080,109604,737,9579,93.55,79.53,80.71,99.33
otsu_400_cinza_Im006,38684,88730,5898,26688,79.63,54.28,59.18,93.77
otsu_800_cinza_Im060,148593,350959,91762,48686,78.05,51.41,75.32,79.27
otsu_400_cinza_Im019,41934,104465,3256,10345,91.50,75.51,80.21,96.98
otsu_400_rgb_Im079,41962,97566,9756,10716,87.20,67.21,79.66,90.91
otsu_400_cinza_Im079,41961,97542,9780,10717,87.19,67.18,79.66,90.89
otsu_400_cinza_Im056,48581,96980,8749,5690,90.98,77.09,89.52,91.73
otsu_400_cinza_Im060,37163,87749,22908,12180,78.07,51.44,75.32,79.30
otsu_800_rgb_Im084,186967,349840,31057,72136,83.88,64.44,72.16,91.85
otsu_800_rgb_Im033,128402,404218,65953,41427,83.22,54.46,75.61,85.97
otsu_400_cinza_Im036,40086,109604,737,9573,93.56,79.54,80.72,99.33
otsu_800_cinza_Im036,160388,438396,2963,38253,93.56,79.56,80.74,99.33
